method,layer_idx,alpha,mode,accuracy,labels,probs,steering_vector_path
base_model,,,,0.6363636363636364,"[1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0]","[0.7003447413444519, 0.951435387134552, 0.9971600770950317, 0.05208611488342285, 0.8410038352012634, 0.40807124972343445, 0.7224761843681335, 0.5307676196098328, 0.11607065051794052, 0.385821133852005, 0.4038878083229065, 0.6600674986839294, 0.2758008539676666, 0.8311522006988525, 0.34098905324935913, 0.09594066441059113, 0.5796443819999695, 0.6422887444496155, 0.19221366941928864, 0.45617175102233887, 0.42229893803596497, 0.8179766535758972, 0.8192734718322754, 0.07944226264953613, 0.3545666038990021, 0.7980106472969055, 0.5021677017211914, 0.823147714138031, 0.7726998925209045, 0.4672306478023529, 0.9391422271728516, 0.6794965863227844, 0.5115045309066772, 0.4244902729988098, 0.556657075881958, 0.3497842848300934, 0.7436195015907288, 0.5268135070800781, 0.8357614874839783, 0.7752979397773743, 0.9528996348381042, 0.579078733921051, 0.1968512386083603, 0.5112243294715881, 0.5166974067687988, 0.49509397149086, 0.7973913550376892, 0.5203934907913208, 0.7898095846176147, 0.9493647813796997, 0.25171127915382385, 0.5367511510848999, 0.6612810492515564, 0.23923476040363312, 0.6020771265029907, 0.5515954494476318, 0.8299092054367065, 0.1699150800704956, 0.4604054391384125, 0.24816067516803741, 0.7024842500686646, 0.4412243366241455, 0.8495294451713562, 0.5540765523910522, 0.6739473342895508, 0.7451883554458618, 0.7754756808280945, 0.7807891964912415, 0.1940126270055771, 0.693070650100708, 0.8823867440223694, 0.42159366607666016, 0.5894265174865723, 0.29199910163879395, 0.8903487920761108, 0.8439393043518066, 0.4974074363708496]",
pca,28,2.0,both,0.5844155844155844,"[1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0]","[0.6465168595314026, 0.9612645506858826, 0.9972165822982788, 0.05302615091204643, 0.8646281957626343, 0.39895743131637573, 0.6894840598106384, 0.519226610660553, 0.12492749840021133, 0.4219225347042084, 0.42903265357017517, 0.758359968662262, 0.3349708914756775, 0.7833571434020996, 0.36032944917678833, 0.15764059126377106, 0.6365057826042175, 0.5264359712600708, 0.19604027271270752, 0.4248761236667633, 0.47873204946517944, 0.7982721924781799, 0.8363969326019287, 0.1361275613307953, 0.29701173305511475, 0.7891051769256592, 0.4944117069244385, 0.8030253648757935, 0.7960708737373352, 0.4575470983982086, 0.9416748285293579, 0.6195056438446045, 0.4957834780216217, 0.44740980863571167, 0.5511071085929871, 0.41691070795059204, 0.7338405847549438, 0.4809653162956238, 0.7663756012916565, 0.7624022960662842, 0.969086766242981, 0.5863507986068726, 0.21760401129722595, 0.45404279232025146, 0.5412781238555908, 0.5247305035591125, 0.8382353186607361, 0.6645913124084473, 0.8009408712387085, 0.8898251056671143, 0.2843056321144104, 0.47635698318481445, 0.7118442058563232, 0.2652052938938141, 0.5622323751449585, 0.5600646734237671, 0.7556669116020203, 0.2091587334871292, 0.3757436275482178, 0.30187591910362244, 0.6164335608482361, 0.48840633034706116, 0.8304560780525208, 0.5099612474441528, 0.6781283617019653, 0.7496213912963867, 0.6994866132736206, 0.7470362782478333, 0.21026670932769775, 0.6634466648101807, 0.8451924920082092, 0.42288628220558167, 0.5078180432319641, 0.3223743140697479, 0.8810749650001526, 0.8533303141593933, 0.4978318512439728]",data/llm/steering_vectors/steering_truthfulqa_llama-3.1-8b-instruct_pca_layer28_alpha2.0_both.npy
pca,28,4.0,both,0.5844155844155844,"[1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]","[0.5445994138717651, 0.9606159925460815, 0.9945684671401978, 0.0558953694999218, 0.8896096348762512, 0.3993672728538513, 0.6643974781036377, 0.5431557893753052, 0.1549520492553711, 0.41758036613464355, 0.43129459023475647, 0.7970221042633057, 0.46092408895492554, 0.717460572719574, 0.381515234708786, 0.27527618408203125, 0.6699654459953308, 0.4118780791759491, 0.18173471093177795, 0.3502594530582428, 0.5853224396705627, 0.7564584016799927, 0.8485376834869385, 0.22013510763645172, 0.2667689323425293, 0.7361881732940674, 0.5034698843955994, 0.7803589105606079, 0.7679476141929626, 0.24083003401756287, 0.9357417225837708, 0.5542014241218567, 0.5093542337417603, 0.48433244228363037, 0.5779387950897217, 0.45560422539711, 0.7224653959274292, 0.4732953608036041, 0.6491348147392273, 0.7271995544433594, 0.9760957360267639, 0.5857858061790466, 0.2424956113100052, 0.4156917631626129, 0.5966466069221497, 0.5298563838005066, 0.8579902648925781, 0.7303093671798706, 0.7978682518005371, 0.614808976650238, 0.3343249559402466, 0.4066442847251892, 0.7242280840873718, 0.32072365283966064, 0.5404251217842102, 0.5240576267242432, 0.6143876910209656, 0.3214346170425415, 0.3182978332042694, 0.38888904452323914, 0.4545024037361145, 0.5390685200691223, 0.787860095500946, 0.4704653024673462, 0.7011210918426514, 0.7443355917930603, 0.555687665939331, 0.6873732805252075, 0.2271375209093094, 0.6230297684669495, 0.7808656096458435, 0.3850218951702118, 0.3881406784057617, 0.3165016770362854, 0.8469192385673523, 0.8409280776977539, 0.46482759714126587]",data/llm/steering_vectors/steering_truthfulqa_llama-3.1-8b-instruct_pca_layer28_alpha4.0_both.npy
pca,28,6.0,both,0.5454545454545454,"[0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]","[0.3667339086532593, 0.9505723714828491, 0.987199604511261, 0.05148390308022499, 0.908183217048645, 0.3655478060245514, 0.655921220779419, 0.5889874696731567, 0.2192731648683548, 0.3909430503845215, 0.401150643825531, 0.7701230645179749, 0.6221349835395813, 0.6276320815086365, 0.4079040288925171, 0.42789319157600403, 0.6775279641151428, 0.32008594274520874, 0.1726742684841156, 0.2614721655845642, 0.7005451917648315, 0.7104408144950867, 0.8479709625244141, 0.30829760432243347, 0.22579367458820343, 0.6493992805480957, 0.5175604224205017, 0.7589348554611206, 0.69878751039505, 0.07225590944290161, 0.9305323958396912, 0.5267766714096069, 0.5427383184432983, 0.509570837020874, 0.6328387260437012, 0.4116893708705902, 0.711639940738678, 0.47681137919425964, 0.500704288482666, 0.6915789842605591, 0.9766861796379089, 0.574539303779602, 0.22735437750816345, 0.40967968106269836, 0.6098495721817017, 0.4949738085269928, 0.8609269857406616, 0.7585425972938538, 0.7977578639984131, 0.24926623702049255, 0.4128949046134949, 0.3466060757637024, 0.6896457672119141, 0.4035230278968811, 0.5345702767372131, 0.5089194774627686, 0.45891037583351135, 0.4514842629432678, 0.2917923629283905, 0.46483510732650757, 0.26352572441101074, 0.5891952514648438, 0.7058194875717163, 0.4463115930557251, 0.7455490827560425, 0.7337728142738342, 0.35667985677719116, 0.637620210647583, 0.2304619401693344, 0.5690674781799316, 0.7023849487304688, 0.3231476843357086, 0.22262437641620636, 0.24856698513031006, 0.7839855551719666, 0.8107690811157227, 0.38814571499824524]",data/llm/steering_vectors/steering_truthfulqa_llama-3.1-8b-instruct_pca_layer28_alpha6.0_both.npy
pca,28,8.0,both,0.5974025974025974,"[0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]","[0.2247510850429535, 0.9352317452430725, 0.9785804748535156, 0.045387569814920425, 0.9080749750137329, 0.2936857044696808, 0.6400896906852722, 0.6163792014122009, 0.3186837136745453, 0.35263362526893616, 0.35856685042381287, 0.7111806273460388, 0.7464345693588257, 0.5294175744056702, 0.43636849522590637, 0.5741588473320007, 0.6687978506088257, 0.27017512917518616, 0.16726887226104736, 0.19216541945934296, 0.773392915725708, 0.6698369979858398, 0.8310818672180176, 0.36854663491249084, 0.18535733222961426, 0.5288841724395752, 0.5246075391769409, 0.7250846028327942, 0.6269224286079407, 0.026058917865157127, 0.9317823052406311, 0.5406202673912048, 0.5952088236808777, 0.5150449275970459, 0.703486979007721, 0.3529036045074463, 0.7071179747581482, 0.5076323747634888, 0.3583660125732422, 0.6772772669792175, 0.9709968566894531, 0.5668296217918396, 0.17882855236530304, 0.4091483950614929, 0.5653334259986877, 0.4518624246120453, 0.838371753692627, 0.754652738571167, 0.7922272682189941, 0.13809429109096527, 0.5117743015289307, 0.3208892345428467, 0.6222811341285706, 0.46591049432754517, 0.5321382880210876, 0.5295682549476624, 0.34214743971824646, 0.5474392771720886, 0.27909988164901733, 0.5292028188705444, 0.15135040879249573, 0.6304051876068115, 0.6010366082191467, 0.4329383969306946, 0.8002536296844482, 0.7276595830917358, 0.20393255352973938, 0.6223082542419434, 0.22449545562267303, 0.5054743885993958, 0.6201722025871277, 0.25906482338905334, 0.10806240886449814, 0.18191871047019958, 0.7286902666091919, 0.781241774559021, 0.29784536361694336]",data/llm/steering_vectors/steering_truthfulqa_llama-3.1-8b-instruct_pca_layer28_alpha8.0_both.npy
pca,29,2.0,both,0.6233766233766234,"[1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1]","[0.6941220760345459, 0.9505563974380493, 0.9985557198524475, 0.05419648438692093, 0.8833026885986328, 0.3877672851085663, 0.6945993304252625, 0.5576622486114502, 0.11595816910266876, 0.3698212206363678, 0.3431735932826996, 0.6982169151306152, 0.3105161190032959, 0.7686848640441895, 0.35103553533554077, 0.12202353775501251, 0.6027190089225769, 0.5590069890022278, 0.19830119609832764, 0.4650733470916748, 0.41021305322647095, 0.7856659293174744, 0.8629096746444702, 0.14137190580368042, 0.32249554991722107, 0.8428752422332764, 0.4736562669277191, 0.7902924418449402, 0.7892048358917236, 0.347219318151474, 0.9544652700424194, 0.6548147797584534, 0.5145623087882996, 0.4229002892971039, 0.5632747411727905, 0.3733401894569397, 0.7431021332740784, 0.5977991223335266, 0.8190711140632629, 0.7536437511444092, 0.9630521535873413, 0.6070404648780823, 0.23597627878189087, 0.4964471459388733, 0.5854626893997192, 0.4886689782142639, 0.813609778881073, 0.5608381032943726, 0.8088622689247131, 0.9142771363258362, 0.2679970860481262, 0.5108458399772644, 0.7080690860748291, 0.25353923439979553, 0.6317216753959656, 0.5899489521980286, 0.7884140014648438, 0.21418634057044983, 0.43425416946411133, 0.3555379807949066, 0.6066035628318787, 0.46065089106559753, 0.8774548768997192, 0.5138680934906006, 0.7342717051506042, 0.7267935276031494, 0.7441279292106628, 0.7187225818634033, 0.1735835075378418, 0.6796651482582092, 0.8521319031715393, 0.3923695683479309, 0.5115602612495422, 0.31389278173446655, 0.8812843561172485, 0.8622662425041199, 0.5330632328987122]",data/llm/steering_vectors/steering_truthfulqa_llama-3.1-8b-instruct_pca_layer29_alpha2.0_both.npy
pca,29,4.0,both,0.5714285714285714,"[1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1]","[0.6587595343589783, 0.9419471025466919, 0.9987002611160278, 0.052846040576696396, 0.9016362428665161, 0.36047452688217163, 0.6813434362411499, 0.5713967084884644, 0.14186079800128937, 0.3713730573654175, 0.29608985781669617, 0.6931532025337219, 0.3472748398780823, 0.6897286176681519, 0.3620704114437103, 0.18215712904930115, 0.59148770570755, 0.4773828387260437, 0.18757961690425873, 0.4261340796947479, 0.4173220098018646, 0.7514547109603882, 0.8942614793777466, 0.20473821461200714, 0.3204905688762665, 0.8548454642295837, 0.4634425640106201, 0.7326576113700867, 0.7853376865386963, 0.1896262913942337, 0.9553096890449524, 0.6534995436668396, 0.5406373143196106, 0.4285547435283661, 0.5773491859436035, 0.4061105251312256, 0.7388508915901184, 0.6541882753372192, 0.7943027019500732, 0.7178109288215637, 0.9686098694801331, 0.642432451248169, 0.2629079520702362, 0.4763341546058655, 0.6320025324821472, 0.4766971170902252, 0.8175466060638428, 0.5634464621543884, 0.8189912438392639, 0.8163816332817078, 0.29427459836006165, 0.469154953956604, 0.7257223129272461, 0.2906397879123688, 0.6415925025939941, 0.6058259010314941, 0.7236502170562744, 0.3083269000053406, 0.4624704420566559, 0.4571627378463745, 0.5086218118667603, 0.4881780743598938, 0.881634533405304, 0.4897904396057129, 0.8036319613456726, 0.7143105268478394, 0.6799790859222412, 0.6450356245040894, 0.15176908671855927, 0.6550968885421753, 0.80848628282547, 0.36066538095474243, 0.4297035038471222, 0.31038033962249756, 0.8750770688056946, 0.8728761672973633, 0.5255391001701355]",data/llm/steering_vectors/steering_truthfulqa_llama-3.1-8b-instruct_pca_layer29_alpha4.0_both.npy
pca,29,6.0,both,0.5844155844155844,"[1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]","[0.5829128623008728, 0.9293617606163025, 0.9984012246131897, 0.04878147691488266, 0.9092096090316772, 0.32650166749954224, 0.6836398243904114, 0.5697815418243408, 0.19947881996631622, 0.37349143624305725, 0.265125572681427, 0.6532120704650879, 0.3831687867641449, 0.6073723435401917, 0.3689419627189636, 0.24728772044181824, 0.5382964015007019, 0.4242517352104187, 0.17301812767982483, 0.3391400873661041, 0.4444780647754669, 0.7290239930152893, 0.9072437286376953, 0.23691117763519287, 0.3182811141014099, 0.8469743728637695, 0.45557963848114014, 0.6779335737228394, 0.7596510648727417, 0.09242625534534454, 0.9520306587219238, 0.6665056943893433, 0.559775173664093, 0.4397050738334656, 0.5967698693275452, 0.42380985617637634, 0.7322378158569336, 0.6942149996757507, 0.7612730860710144, 0.6741724014282227, 0.9710445404052734, 0.6675264239311218, 0.2675822973251343, 0.4463033676147461, 0.6452544331550598, 0.46598026156425476, 0.8218172788619995, 0.5585724711418152, 0.8317146897315979, 0.6501874923706055, 0.3292118310928345, 0.42150577902793884, 0.7037127614021301, 0.3348948359489441, 0.640453577041626, 0.6001397967338562, 0.6475988626480103, 0.3922977149486542, 0.5062450170516968, 0.5058391094207764, 0.43081700801849365, 0.5123418569564819, 0.8666465878486633, 0.4816957414150238, 0.8531913161277771, 0.6972700357437134, 0.5826774835586548, 0.6038702726364136, 0.1356155276298523, 0.625382661819458, 0.7543783187866211, 0.31760337948799133, 0.3373499810695648, 0.2744235098361969, 0.8573243021965027, 0.8791082501411438, 0.4754253029823303]",data/llm/steering_vectors/steering_truthfulqa_llama-3.1-8b-instruct_pca_layer29_alpha6.0_both.npy
pca,29,8.0,both,0.5584415584415584,"[1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]","[0.5000514984130859, 0.9204805493354797, 0.9978335499763489, 0.0439092256128788, 0.9080455303192139, 0.2831781804561615, 0.6860911846160889, 0.5604236721992493, 0.293547660112381, 0.370195597410202, 0.25711095333099365, 0.5869048833847046, 0.4142063558101654, 0.5385231971740723, 0.3757641613483429, 0.28940069675445557, 0.46469658613204956, 0.39004260301589966, 0.1640118807554245, 0.257050484418869, 0.47627943754196167, 0.7174317836761475, 0.9042543172836304, 0.26406431198120117, 0.31596267223358154, 0.830815851688385, 0.4405021667480469, 0.6508769989013672, 0.7153886556625366, 0.048491474241018295, 0.9489479660987854, 0.6722373366355896, 0.5690674781799316, 0.46582385897636414, 0.6150261759757996, 0.4272870123386383, 0.7266832590103149, 0.7181344032287598, 0.7323477864265442, 0.634946882724762, 0.9694087505340576, 0.6770091652870178, 0.25596779584884644, 0.4150720238685608, 0.6181865930557251, 0.47178149223327637, 0.8253774046897888, 0.532795250415802, 0.8412255644798279, 0.5477917790412903, 0.3729560673236847, 0.38472408056259155, 0.6498392820358276, 0.35694560408592224, 0.6420503258705139, 0.5961734652519226, 0.5920201539993286, 0.42727887630462646, 0.5177487730979919, 0.5035151839256287, 0.3842119872570038, 0.5271311402320862, 0.8487548828125, 0.49404317140579224, 0.874235987663269, 0.6657964587211609, 0.47019368410110474, 0.5949569344520569, 0.1283799260854721, 0.6016113758087158, 0.6864537596702576, 0.28377267718315125, 0.2597543001174927, 0.23172728717327118, 0.8328641653060913, 0.8845772743225098, 0.4019532799720764]",data/llm/steering_vectors/steering_truthfulqa_llama-3.1-8b-instruct_pca_layer29_alpha8.0_both.npy
pca,30,2.0,both,0.6103896103896104,"[1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1]","[0.7098919749259949, 0.9495180249214172, 0.9972559809684753, 0.04866147041320801, 0.8730183243751526, 0.4379507005214691, 0.7072479128837585, 0.52473384141922, 0.1106022372841835, 0.39114654064178467, 0.38133883476257324, 0.6879695653915405, 0.2704988718032837, 0.8245746493339539, 0.3353244960308075, 0.08955051004886627, 0.5422786474227905, 0.6439876556396484, 0.17315052449703217, 0.47319933772087097, 0.4050125181674957, 0.8321256041526794, 0.835677444934845, 0.14538876712322235, 0.3744787871837616, 0.8514602184295654, 0.4838331937789917, 0.8007166385650635, 0.7938008308410645, 0.5068102478981018, 0.949150562286377, 0.6954416632652283, 0.4861847758293152, 0.46981051564216614, 0.5574232339859009, 0.3376440107822418, 0.7448415756225586, 0.6056095361709595, 0.8726674914360046, 0.7895038723945618, 0.9655752778053284, 0.5836492776870728, 0.20986540615558624, 0.49221962690353394, 0.4911178946495056, 0.516609787940979, 0.8130341172218323, 0.5816380381584167, 0.8132156133651733, 0.9483508467674255, 0.26131176948547363, 0.5461519360542297, 0.6776307225227356, 0.21764914691448212, 0.6068488955497742, 0.5503610372543335, 0.828338086605072, 0.17744198441505432, 0.46274760365486145, 0.2484925240278244, 0.716007649898529, 0.4367660880088806, 0.896574079990387, 0.4955688714981079, 0.7112338542938232, 0.7297853827476501, 0.7824440598487854, 0.72280353307724, 0.18512402474880219, 0.7456755042076111, 0.8209474086761475, 0.46212735772132874, 0.5698521733283997, 0.27840083837509155, 0.8915365934371948, 0.8733673691749573, 0.5124266743659973]",data/llm/steering_vectors/steering_truthfulqa_llama-3.1-8b-instruct_pca_layer30_alpha2.0_both.npy
